"id","marca","modelo","año","moderno","cilindrada","estilo","combustible","transmisión","estado","kilometraje","puertas","pago impuesto","negociable","recibe vehículo","fecha ingreso","veces visto","comentarios","tiene imagen","precio"
"98642874","Isuzu","GEMENI","1988","Viejo","1,300 cc","Sedán","Gasolina","Manual","Bueno","100K-200K","3","SI","SI","NO","12 de Agosto del 2020","1770","Buen estado debe placas y RTV, hay que arreglar el arrancador y ajustar frenos pero si camina.","Si","275000"
"36627644","Fiat","FIORINO","1993","Viejo","1,500 cc","Pickup 4x2","Gasolina","Manual","Regular","200K-500K","2","SI","NO","NO","12 de Agosto del 2020","1994","Se debe cambiar distribuidor de corriente cambio de placa y pago de tres marchamos.","Si","300000"
"81448968","Hyundai","ACCENT","2000","Viejo","1,600 cc","Sedán","Gasolina","Manual","Excelente","100K-200K","4","SI","SI","NO","13 de Julio del 2020","3226","PARA PONER AL DIA. Muy bonito en buen estado","No","315000"
"65694347","Volkswagen","JETTA","1995","Viejo","2,000 cc","Sedán","Gasolina","Manual","Regular","200K-500K","4","SI","NO","NO","29 de Julio del 2020","3374","Se vende para reparar, poner al dia RTV","Si","350000"
"31015000","Subaru","LOYALE","1992","Viejo","1,800 cc","Station Wagon","Gasolina","Manual","Muy Bueno","200K-500K","5","NO","SI","NO","04 de Agosto del 2020","2148","Excelente estado full extras solo le falta el alternador la bateria riteve  y un marchamo.","Si","450000"
"96636309","Mitsubishi","LANCER","1990","Viejo","1,300 cc","Sedán","Gasolina","Manual","Bueno","<20K","4","SI","SI","NO","24 de Junio del 2020","5121","Vendo carro barato al día para reparar","Si","500000"
"54838020","Toyota","PREVIA","1993","Viejo","2,400 cc","Microbús/Minivan","Gasolina","Automática/Dual","Regular","200K-500K","4","SI","SI","NO","04 de Julio del 2020","4793","PARA REPARAR Y PONER AL DIAM muchos marchamos hay q terminar de armar el motor  Tengo los repuestos","Si","500000"
"92740198","Hyundai","ELANTRA  GLS","1994","Viejo","1,500 cc","Sedán","Gasolina","Manual","Muy Bueno","200K-500K","4","SI","SI","NO","09 de Julio del 2020","2685","Carro version americana  GLS motor en exc. condiciones. Pendiente Marchamo y RTV, precio negociable","Si","550000"
"36993460","Suzuki","ESTEEM GL","2001","Regular","1,800 cc","Sedán","Gasolina","Automática/Dual","Excelente",">500K","5","SI","NO","NO","03 de Agosto del 2020","1959","vehiculo en  excelente estado mecanico carroceria y esteticamente  tiene  marchamos atrasado","No","550000"
"62106192","Honda","ACCORD","1996","Viejo","2,200 cc","Sedán","Gasolina","Manual","Excelente","100K-200K","4","SI","SI","NO","11 de Agosto del 2020","1666","DEBE CUATRO MARCHAMOS Y RTV. TIENE EMBARGOS PERO TODO CANCELADO. CAMINA SUPER BIEN","No","575000"
"75785226","Daihatsu","CHARADE","1990","Viejo","1,300 cc","Sedán","Gasolina","Manual","Muy Bueno","50K-100K","4","SI","SI","NO","30 de Junio del 2020","2283","Al dia con Riteve un solo dueño desde su importacion version americana","No","600000"
"49512665","Daihatsu","CHARADE","1999","Viejo","1,500 cc","Sedán","Gasolina","Manual","Bueno","200K-500K","4","SI","SI","NO","15 de Julio del 2020","645","Buenas condiciones de motor y sus detalles de pintura","Si","1200000"
"38246376","Honda","CIVIC","1991","Viejo","1,500 cc","Sedán","Gasolina","Manual","Excelente","<20K","2","SI","NO","NO","23 de Julio del 2020","259","Vendo lindo honda Civic ranita Ef está al día se va a ese precio tiene extras","No","1200000"
