car	marca	modelo	año	cilindrada	estilo	combustibile	transmision	estado	kilometraje	puertas	pagoImpuesto	negociable	recibeVehiculo	fechaIngreso	vecesVisto	comentarios	precio
34732150	Ford	EXPLORER	1991	"4,000 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Muy Bueno	90000	4	SI	NO	NO	30 de Enero del 2020	Este vehículo ha sido visto 1379 veces.	buen estado para proyecto ganga.	750000
56546076	Toyota	4RUNNER	1989	"2,400 cc"	Todo Terreno 4x4	Gasolina	Manual	Bueno	10000	2	SI	NO	NO	11 de Febrero del 2020	Este vehículo ha sido visto 1131 veces.	EXELENTE ESTADO MECANICO TODO AL DIA SE FIRMA DE UNA VEZ HAY QUE PINTARLA POR ESO EL PRECIO	1650000
77268813	Jeep	WRANGLER RUBICON	2013	"3,600 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Excelente	ND	5	SI	SI	SI	14 de Febrero del 2020	Este vehículo ha sido visto 419 veces.	COMPRADO EN AGENCIA---RUBICON TOTAL ORIGINAL- RECIBO D MENOR VALOR	21950000
61149036	Geo	TRACKER	1990	"1,600 cc"	Todo Terreno 4x4	Gasolina	Manual	Muy Bueno	9017	3	SI	SI	NO	20 de Enero del 2020	Este vehículo ha sido visto 1252 veces.	Detalle en pintura y puerta	1700000
48717458	Peugeot	5008 GLS PLUS	2018	"1,600 cc"	Todo Terreno 4x2	Gasolina	Automática/Dual	Excelente	23000	4	SI	SI	NO	04 de Diciembre del 2019	Este vehículo ha sido visto 2462 veces.	SIETE PAS.FULL XTRAS TECNLOGIA. POCO KM.EN GARANTÍA.BLUTOOTH TOUCH. BUMPERS-PANZAS PINTADOS.UNICO	22000000
91744888	Suzuki	SAMURAI	1987	"1,500 cc"	Todo Terreno 4x4	Gasolina	Manual	Excelente	15	2	SI	SI	NO	23 de Enero del 2020	Este vehículo ha sido visto 1346 veces.	ESTA EN SAN CARLOS. FLORENCIA. SE RECIBE	1750000
73159781	Chevrolet	TRACKER	1995	"1,600 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Bueno	5786	3	SI	SI	NO	04 de Febrero del 2020	Este vehículo ha sido visto 429 veces.	Vendo o cambio	1900000
1866149	Land	Rover RANGE ROVER SPORT	2012	"3,000 cc"	Todo Terreno 4x4	Diesel	Automática/Dual	Excelente	ND	4	SI	SI	SI	12 de Febrero del 2020	Este vehículo ha sido visto 129 veces.	Excelente mantenimiento Recibo!! Negociable!!	21900000
20156563	Freightliner	CASCADIA 125	2009	"14,900 cc"	Camión 10.0 ton. o más	Diesel	Manual	Excelente	ND	2	SI	SI	NO	08 de Enero del 2020	Este vehículo ha sido visto 791 veces.	Midroof con motor Detroit y caja de diez. Opción de financiamiento. Esta muy muy lindo. NEGOCIEMOS.	21950000
12450269	Toyota	HILUX	2016	"3,000 cc"	Pickup 4x4	Diesel	Manual	Excelente	133000	4	SI	SI	SI	30 de Enero del 2020	Este vehículo ha sido visto 386 veces.	CUERO-CAMARA DE RETROCESO-BLUETOOTH-PANTALLA-RECIBO Y FINANCIO	21950000
17686243	Geo	TRACKER	1992	"1,600 cc"	Todo Terreno 4x4	Gasolina	Manual	Excelente	1	3	SI	SI	NO	11 de Febrero del 2020	Este vehículo ha sido visto 75 veces.	Detalles	1950000
97951897	Toyota	HILUX	2000	"2,400 cc"	Pickup 4x4	Diesel	Manual	Bueno	87	4	SI	SI	SI	13 de Enero del 2020	Este vehículo ha sido visto 2492 veces.	SE DA BARATA SE PUEDE RECIBIR DE MENOR VALOR HILUX  VEINTIDÓS R Ó ALGUNA TACOMA CAJÓN LARGO.	6500000
39331746	Chevrolet	COLORADO	2018	"2,800 cc"	Pickup 4x4	Diesel	Automática/Dual	Excelente	53000	4	SI	SI	NO	10 de Enero del 2020	Este vehículo ha sido visto 927 veces.	El carro está en Leasing con Scotiabank	22000000
72376160	Geo	TRACKER	1993	"1,600 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Excelente	1	2	SI	SI	SI	05 de Febrero del 2020	Este vehículo ha sido visto 1144 veces.	Lindo todo al día  firma inmediata EXCELENTE PRECIO	1975000
88192218	Nissan	PATHFINDER	1987	"3,000 cc"	Todo Terreno 4x4	Gasolina	Manual	Excelente	100000	3	SI	NO	NO	21 de Enero del 2020	Este vehículo ha sido visto 759 veces.	Excelente oportunidad esta recién pintado chasis y fuera pintura   inyectado muy económico	2000000
73025294	Volkswagen	GOLF GTI	2005	"1,800 cc"	Hatchback	Gasolina	Manual	Excelente	155000	3	SI	SI	NO	04 de Febrero del 2020	Este vehículo ha sido visto 785 veces.	Excelente estado lo vendo porque ya tengo otro carro algunos detalles de pintura	3850000
73147521	Hyundai	TERRACAN	2002	"2,500 cc"	Todo Terreno 4x4	Diesel	Manual	Excelente	280000	5	SI	NO	NO	06 de Febrero del 2020	Este vehículo ha sido visto 914 veces.	"MUY BUEN ESTADO , SIETE PASAJEROS,CAMBIO POR PICK UP"	3850000
86219185	Nissan	PATHFINDER	2002	"3,500 cc"	Todo Terreno 4x4	Gasolina	Automática/Dual	Muy Bueno	170000	5	SI	SI	NO	09 de Febrero del 2020	Este vehículo ha sido visto 536 veces.	Muy buenas condiciones  full extras  car play bluetooth soon roof	3850000
47106536	Nissan	D21 FRONTIER	1998	"2,400 cc"	Pickup 4x2	Gasolina	Manual	Excelente	200000	4	SI	SI	SI	10 de Febrero del 2020	Este vehículo ha sido visto 294 veces.	comprado en agencia no maltratado todo original AC perfecto estado pocos de estos doble cabina	3850000
